,city,driver_count,type,date,fare,ride_id
0,Richardfort,38.0,Urban,2/24/2018 8:40,13.93,5630000000000.0
1,Richardfort,38.0,Urban,2/13/2018 12:46,14.0,910000000000.0
2,Richardfort,38.0,Urban,2/16/2018 13:52,17.92,821000000000.0
3,Richardfort,38.0,Urban,2/1/2018 20:18,10.26,9550000000000.0
4,Richardfort,38.0,Urban,4/17/2018 2:26,23.0,720000000000.0
5,Richardfort,38.0,Urban,4/21/2018 3:44,9.54,3700000000000.0
6,Richardfort,38.0,Urban,2/3/2018 0:14,29.04,4980000000000.0
7,Richardfort,38.0,Urban,2/8/2018 15:50,16.55,2270000000000.0
8,Richardfort,38.0,Urban,4/3/2018 15:07,40.77,9500000000000.0
9,Richardfort,38.0,Urban,2/19/2018 14:09,27.11,8690000000000.0
10,Richardfort,38.0,Urban,4/22/2018 3:06,39.74,4080000000000.0
11,Richardfort,38.0,Urban,1/31/2018 14:51,43.92,4070000000000.0
12,Richardfort,38.0,Urban,3/4/2018 22:13,14.83,9470000000000.0
13,Richardfort,38.0,Urban,3/28/2018 19:33,7.75,5540000000000.0
14,Richardfort,38.0,Urban,2/14/2018 3:27,44.11,2500000000000.0
15,Richardfort,38.0,Urban,4/27/2018 11:59,30.31,6110000000000.0
16,Richardfort,38.0,Urban,3/3/2018 11:57,11.42,2920000000000.0
17,Richardfort,38.0,Urban,1/13/2018 10:08,25.81,9110000000000.0
18,Richardfort,38.0,Urban,3/6/2018 12:53,8.28,5130000000000.0
19,Richardfort,38.0,Urban,2/5/2018 16:12,42.22,4050000000000.0
20,Richardfort,38.0,Urban,4/4/2018 15:04,16.35,6080000000000.0
21,Richardfort,38.0,Urban,3/5/2018 16:00,4.85,3290000000000.0
22,Richardfort,38.0,Urban,4/14/2018 11:56,43.01,7640000000000.0
23,Richardfort,38.0,Urban,1/21/2018 23:20,10.91,3570000000000.0
24,Richardfort,38.0,Urban,3/16/2018 23:00,21.39,237000000000.0
25,Richardfort,38.0,Urban,3/22/2018 4:41,16.35,5930000000000.0
26,Richardfort,38.0,Urban,1/3/2018 1:06,5.32,3270000000000.0
27,Richardfort,38.0,Urban,3/29/2018 15:16,37.76,4800000000000.0
28,Williamsstad,59.0,Urban,1/23/2018 17:51,19.62,126000000000.0
29,Williamsstad,59.0,Urban,3/29/2018 21:43,35.58,4750000000000.0
30,Williamsstad,59.0,Urban,2/13/2018 20:07,33.72,3800000000000.0
31,Williamsstad,59.0,Urban,5/1/2018 1:26,26.81,4540000000000.0
32,Williamsstad,59.0,Urban,2/23/2018 17:42,4.68,9110000000000.0
33,Williamsstad,59.0,Urban,3/5/2018 2:33,25.02,1310000000000.0
34,Williamsstad,59.0,Urban,4/16/2018 23:07,23.12,969000000000.0
35,Williamsstad,59.0,Urban,3/12/2018 1:39,18.67,2160000000000.0
36,Williamsstad,59.0,Urban,4/12/2018 12:30,17.57,7100000000000.0
37,Williamsstad,59.0,Urban,2/21/2018 10:56,4.9,7180000000000.0
38,Williamsstad,59.0,Urban,4/16/2018 16:21,32.43,7180000000000.0
39,Williamsstad,59.0,Urban,2/22/2018 4:25,20.56,5810000000000.0
40,Williamsstad,59.0,Urban,5/6/2018 12:39,40.79,8720000000000.0
41,Williamsstad,59.0,Urban,1/6/2018 20:14,43.5,2050000000000.0
42,Williamsstad,59.0,Urban,3/25/2018 16:07,42.93,2210000000000.0
43,Williamsstad,59.0,Urban,4/26/2018 4:18,18.92,1610000000000.0
44,Williamsstad,59.0,Urban,4/21/2018 23:26,26.99,8560000000000.0
45,Williamsstad,59.0,Urban,4/1/2018 17:37,16.83,1520000000000.0
46,Williamsstad,59.0,Urban,5/6/2018 19:34,26.43,8990000000000.0
47,Williamsstad,59.0,Urban,1/20/2018 18:47,18.79,5020000000000.0
48,Williamsstad,59.0,Urban,1/3/2018 10:03,17.16,28294640252.0
49,Williamsstad,59.0,Urban,3/12/2018 11:08,13.79,5770000000000.0
50,Williamsstad,59.0,Urban,4/4/2018 6:55,31.52,778000000000.0
51,Port Angela,67.0,Urban,4/17/2018 6:23,16.34,7120000000000.0
52,Port Angela,67.0,Urban,3/31/2018 15:22,30.77,662000000000.0
53,Port Angela,67.0,Urban,4/9/2018 14:34,11.9,7010000000000.0
54,Port Angela,67.0,Urban,2/8/2018 16:30,30.38,5170000000000.0
55,Port Angela,67.0,Urban,3/4/2018 3:26,40.35,4930000000000.0
56,Port Angela,67.0,Urban,5/2/2018 4:14,35.76,7950000000000.0
57,Port Angela,67.0,Urban,4/22/2018 16:43,7.91,6770000000000.0
58,Port Angela,67.0,Urban,3/19/2018 12:32,17.21,1690000000000.0
59,Port Angela,67.0,Urban,4/15/2018 23:02,20.16,6490000000000.0
60,Port Angela,67.0,Urban,3/8/2018 16:32,23.06,2750000000000.0
61,Port Angela,67.0,Urban,2/26/2018 10:01,28.52,6780000000000.0
62,Port Angela,67.0,Urban,2/8/2018 0:14,15.58,7390000000000.0
63,Port Angela,67.0,Urban,2/6/2018 7:07,24.47,1470000000000.0
64,Port Angela,67.0,Urban,2/6/2018 16:11,11.39,6110000000000.0
65,Port Angela,67.0,Urban,2/14/2018 13:00,42.04,897000000000.0
66,Port Angela,67.0,Urban,3/10/2018 19:24,43.18,1890000000000.0
67,Port Angela,67.0,Urban,4/2/2018 22:13,25.84,8020000000000.0
68,Port Angela,67.0,Urban,2/3/2018 6:01,6.42,9470000000000.0
69,Port Angela,67.0,Urban,5/4/2018 9:50,21.62,6300000000000.0
70,Rodneyfort,34.0,Urban,2/10/2018 23:22,23.44,5150000000000.0
71,Rodneyfort,34.0,Urban,3/2/2018 18:03,44.26,2490000000000.0
72,Rodneyfort,34.0,Urban,2/3/2018 0:48,44.86,2330000000000.0
73,Rodneyfort,34.0,Urban,4/25/2018 20:57,21.7,8530000000000.0
74,Rodneyfort,34.0,Urban,1/30/2018 12:34,16.99,5780000000000.0
75,Rodneyfort,34.0,Urban,1/8/2018 0:29,29.4,1180000000000.0
76,Rodneyfort,34.0,Urban,2/8/2018 7:35,30.02,2500000000000.0
77,Rodneyfort,34.0,Urban,3/20/2018 10:40,42.57,6350000000000.0
78,Rodneyfort,34.0,Urban,5/6/2018 22:21,27.16,3770000000000.0
79,Rodneyfort,34.0,Urban,3/4/2018 15:13,28.69,276000000000.0
80,Rodneyfort,34.0,Urban,4/11/2018 2:57,36.3,9050000000000.0
81,Rodneyfort,34.0,Urban,3/10/2018 5:23,29.13,4630000000000.0
82,Rodneyfort,34.0,Urban,4/10/2018 23:38,25.4,9060000000000.0
83,Rodneyfort,34.0,Urban,3/7/2018 23:37,7.78,2860000000000.0
84,Rodneyfort,34.0,Urban,4/29/2018 0:20,44.28,6980000000000.0
85,Rodneyfort,34.0,Urban,4/12/2018 23:29,27.81,5670000000000.0
86,Rodneyfort,34.0,Urban,3/15/2018 10:18,30.83,4180000000000.0
87,Rodneyfort,34.0,Urban,5/5/2018 3:19,22.24,5390000000000.0
88,Rodneyfort,34.0,Urban,1/12/2018 6:17,7.05,4240000000000.0
89,Rodneyfort,34.0,Urban,1/11/2018 14:18,23.21,3430000000000.0
90,Rodneyfort,34.0,Urban,3/24/2018 19:06,31.41,827000000000.0
91,Rodneyfort,34.0,Urban,2/6/2018 11:01,27.87,9790000000000.0
92,Rodneyfort,34.0,Urban,4/19/2018 9:46,35.79,9920000000000.0
93,West Robert,39.0,Urban,2/15/2018 4:21,12.28,1440000000000.0
94,West Robert,39.0,Urban,4/5/2018 3:18,44.58,4250000000000.0
95,West Robert,39.0,Urban,1/21/2018 17:21,27.11,1370000000000.0
96,West Robert,39.0,Urban,4/13/2018 6:56,32.94,9600000000000.0
97,West Robert,39.0,Urban,1/4/2018 6:10,35.35,9550000000000.0
98,West Robert,39.0,Urban,5/5/2018 5:18,10.15,9390000000000.0
99,West Robert,39.0,Urban,3/24/2018 15:21,34.9,9470000000000.0
100,West Robert,39.0,Urban,1/11/2018 11:10,5.16,1590000000000.0
101,West Robert,39.0,Urban,3/7/2018 15:57,12.22,2710000000000.0
102,West Robert,39.0,Urban,5/4/2018 4:36,5.36,9800000000000.0
103,West Robert,39.0,Urban,3/6/2018 6:10,22.86,2320000000000.0
104,West Robert,39.0,Urban,4/12/2018 8:17,32.48,7540000000000.0
105,West Robert,39.0,Urban,2/23/2018 19:46,33.24,3060000000000.0
106,West Robert,39.0,Urban,4/7/2018 6:17,40.69,503000000000.0
107,West Robert,39.0,Urban,2/27/2018 4:29,22.81,5710000000000.0
108,West Robert,39.0,Urban,2/27/2018 20:51,8.37,490000000000.0
109,West Robert,39.0,Urban,1/17/2018 4:56,12.71,8500000000000.0
110,West Robert,39.0,Urban,3/7/2018 6:32,4.28,2030000000000.0
111,West Robert,39.0,Urban,2/9/2018 5:16,26.1,18586563147.0
112,West Robert,39.0,Urban,2/12/2018 1:20,14.8,8060000000000.0
113,West Robert,39.0,Urban,3/14/2018 15:25,18.28,4580000000000.0
114,West Robert,39.0,Urban,4/16/2018 16:16,25.65,3600000000000.0
115,West Robert,39.0,Urban,3/28/2018 15:00,35.88,2850000000000.0
116,West Robert,39.0,Urban,3/29/2018 4:22,17.53,8340000000000.0
